Trial	Xii	Yii
1	0	0	0	-1	
2	38.75	15	40	24	
3	51.25	3.75	49	18	
4	58.75	-7.5	34	35	
5	41.25	15	4	-13	
6	55	-27.5	-10	9	
7	43.75	-11.25	7	24	
8	47.5	-11.25	57	27	
9	40	-6.25	26	3	
10	43.75	3.75	49	21	
11	41.25	3.75	42	42	
12	42.5	6.25	30	48	
13	42.5	-11.25	61	60	
14	0	-42.5	79	21	
15	60	-3.75	39	-22	
16	43.75	2.5	68	39	
17	0	0	-82	38	
18	56.25	-7.5	-37	48	
19	42.5	15	12	-14	
20	0	0	335	62	
21	0	0	17	27	
22	0	0	-6	30	
23	58.75	8.75	-8	-29	
24	53.75	0	12	15	
25	53.75	1.25	26	14	
26	45	-6.25	-11	29	
