Trial	Xii	Yii
1	38.75	21.25	85	-145	
2	45	-3.75	76	-82	
3	72.5	7.5	84	-89	
4	53.75	-6.25	128	-107	
5	31.25	-27.5	27	-94	
6	42.5	2.5	-19	-91	
7	53.75	-8.75	9	-88	
8	40	-8.75	-17	-64	
9	43.75	-3.75	-47	-97	
10	47.5	-16.25	-74	-67	
11	48.75	0	-88	-73	
12	40	11.25	-72	-37	
13	47.5	-2.5	-53	-38	
14	58.75	1.25	-85	-44	
15	46.25	-7.5	-58	-8	
16	61.25	11.25	-71	-61	
17	43.75	2.5	-64	-70	
18	53.75	0	-1	-16	
19	47.5	0	-28	-70	
20	45	0	-73	-34	
21	78.75	-15	-71	-23	
22	41.25	1.25	3	-23	
23	51.25	0	-68	-31	
24	45	-12.5	-26	6	
25	38.75	11.25	-28	-22	
26	46.25	1.25	-36	-17	
27	45	11.25	-72	-26	
28	46.25	7.5	4	-34	
29	66.25	3.75	8	-58	
30	51.25	2.5	-78	-37	
31	40	-15	-5	-11	
32	46.25	-6.25	12	-32	
33	45	-6.25	-42	-8	
34	40	-8.75	-37	-16	
35	40	-7.5	5	-10	
36	-61.25	6.25	298	-25	
37	43.75	-6.25	-7	3	
38	43.75	-11.25	-3	33	
39	48.75	0	3	36	
40	60	-25	59	77	
41	45	15	98	60	
42	52.5	-21.25	16	65	
43	57.5	-18.75	32	99	
44	50	-7.5	15	9	
45	38.75	-15	-3	14	
46	43.75	0	55	-1	
47	48.75	7.5	36	-4	
48	41.25	13.75	-3	-25	
49	42.5	-7.5	17	11	
50	35	-35	71	11	
51	43.75	1.25	-10	32	
52	40	11.25	14	57	
53	47.5	-6.25	106	-2	
54	58.75	-26.25	24	2	
55	53.75	6.25	-20	54	
56	40	-20	49	5	
57	-36.25	20	325	-38	
58	38.75	-18.75	64	57	
59	72.5	-12.5	1	78	
60	42.5	-3.75	-8	29	
61	51.25	5	-18	53	
62	38.75	11.25	6	-13	
63	0	0	70	-19	
64	50	11.25	63	-22	
65	48.75	3.75	-14	9	
66	-45	3.75	121	-16	
67	45	-7.5	-21	-58	
68	45	-23.75	-13	-19	
69	0	0	-54	-74	
70	51.25	-6.25	-47	-68	
71	55	-8.75	-50	3	
72	50	10	-15	9	
73	48.75	6.25	63	-22	
74	45	5	24	-29	
75	43.75	11.25	71	-40	
76	-45	22.5	258	-76	
77	42.5	1.25	-3	-5	
78	0	0	316	-19	
79	38.75	-23.75	235	39	
80	41.25	11.25	98	-10	
81	40	16.25	19	23	
82	32.5	-23.75	31	51	
83	0	0	209	57	
84	83.75	1.25	78	50	
85	0	0	138	42	
86	-61.25	13.75	150	27	
87	-61.25	-21.25	324	65	
88	48.75	-10	40	107	
89	55	12.5	129	68	
90	47.5	12.5	63	116	
91	43.75	7.5	22	102	
92	50	-17.5	147	104	
93	45	2.5	32	84	
94	0	0	54	39	
