Trial	Xii	Yii
1	60	12.5	1	-20	
2	47.5	7.5	-34	-53	
3	41.25	3.75	-1	-73	
4	55	3.75	65	-76	
5	58.75	0	44	-61	
6	50	-1.25	49	-64	
7	43.75	-2.5	13	-68	
8	56.25	-15	-14	-67	
9	45	0	-8	-55	
10	68.75	-1.25	-31	-46	
11	81.25	-2.5	-71	-35	
12	61.25	5	-73	-23	
13	46.25	0	-27	-28	
14	62.5	7.5	-69	-4	
15	46.25	-3.75	-50	-16	
16	45	0	-72	-43	
17	73.75	-1.25	-81	9	
18	41.25	-1.25	-77	12	
19	57.5	-3.75	-50	12	
20	58.75	10	-106	30	
21	43.75	-11.25	-89	-2	
22	72.5	7.5	-107	-16	
23	60	-5	-96	15	
24	0	0	219	12	
25	77.5	11.25	-65	-46	
26	46.25	3.75	-65	-16	
27	52.5	3.75	-95	-26	
28	46.25	-2.5	-124	5	
29	48.75	0	-133	-31	
30	46.25	5	-81	-41	
31	43.75	2.5	-111	-64	
32	71.25	3.75	-78	-83	
33	47.5	2.5	-101	-70	
34	75	11.25	-114	-58	
35	47.5	3.75	-77	-52	
36	65	0	-38	-35	
37	42.5	0	-40	-91	
38	51.25	8.75	-64	-56	
39	48.75	-3.75	-14	-55	
40	40	-3.75	-51	-62	
41	70	-8.75	29	6	
42	43.75	0	13	2	
