Trial	Xii	Yii
1	45	22.5	-71	32	
2	0	0	-55	2	
3	43.75	1.25	-57	-8	
4	62.5	7.5	-86	-19	
5	41.25	6.25	-109	-10	
6	56.25	3.75	-129	6	
7	42.5	-2.5	-144	-14	
8	70	0	-113	21	
9	40	3.75	-136	24	
10	46.25	-2.5	-143	44	
11	62.5	-11.25	-148	54	
12	47.5	0	-116	57	
13	61.25	3.75	-175	24	
14	55	-7.5	-146	68	
15	61.25	3.75	-153	65	
16	42.5	-7.5	-182	36	
17	45	-1.25	-187	39	
18	41.25	0	-180	14	
19	42.5	-1.25	-181	21	
20	45	-1.25	-184	-1	
21	58.75	-1.25	-212	-19	
22	48.75	-1.25	-228	-19	
23	50	0	-251	-34	
24	48.75	-1.25	-252	-19	
25	41.25	0	-230	-13	
26	45	-3.75	-265	-4	
27	51.25	-7.5	-229	23	
28	61.25	7.5	-223	39	
29	50	-3.75	-233	42	
30	40	-6.25	-242	3	
31	42.5	0	-214	36	
32	66.25	1.25	-234	38	
33	42.5	0	-190	30	
34	48.75	0	-166	45	
35	72.5	2.5	-171	63	
36	41.25	5	-176	71	
37	50	10	-174	57	
38	50	2.5	-166	57	
39	51.25	3.75	-151	56	
40	55	10	-189	39	
41	40	1.25	-187	50	
42	62.5	-3.75	-176	53	
43	50	1.25	-192	41	
44	46.25	-1.25	-160	39	
45	46.25	-3.75	-170	17	
46	43.75	-1.25	-180	21	
47	42.5	-5	-217	6	
48	40	1.25	-206	8	
49	43.75	-3.75	-243	-1	
Trial	Xii	Yii
Trial	Xii	Yii
1	55	-16.25	-49	-33	
2	43.75	8.75	-28	-4	
3	57.5	-3.75	15	36	
4	40	3.75	1	56	
5	41.25	0	-39	30	
6	58.75	-6.25	-63	26	
7	42.5	10	-71	45	
8	48.75	-2.5	-68	56	
9	55	-8.75	-93	51	
10	38.75	13.75	-60	51	
11	45	-6.25	-86	86	
12	42.5	-8.75	-71	81	
13	52.5	2.5	-55	54	
14	40	-22.5	-103	104	
15	53.75	7.5	-121	87	
16	41.25	-5	-130	90	
17	62.5	22.5	-188	42	
18	40	-3.75	-152	105	
19	60	11.25	-103	93	
20	73.75	5	-129	92	
21	47.5	3.75	-93	75	
22	48.75	-21.25	-117	92	
23	65	0	-142	72	
24	48.75	21.25	-135	105	
25	50	2.5	-129	156	
26	41.25	6.25	-128	147	
27	46.25	5	-103	119	
28	83.75	12.5	-75	179	
29	52.5	-8.75	-87	120	
30	42.5	2.5	-91	159	
31	41.25	7.5	-84	143	
32	45	2.5	-97	180	
33	51.25	0	-89	147	
34	40	5	-86	155	
35	47.5	2.5	-29	96	
36	53.75	3.75	-93	146	
37	60	25	-156	96	
38	63.75	11.25	-176	96	
39	63.75	3.75	-158	99	
40	37.5	15	-136	114	
41	-42.5	-37.5	-89	210	
42	62.5	33.75	-246	84	
43	43.75	-5	-184	153	
44	58.75	-18.75	-147	177	
45	42.5	13.75	-188	135	
46	38.75	11.25	-205	138	
47	45	15	-189	132	
48	50	7.5	-199	135	
49	66.25	6.25	-232	141	
50	43.75	6.25	-183	117	
51	58.75	0	-80	138	
52	45	-7.5	-172	135	
53	57.5	-1.25	-148	141	
54	53.75	-2.5	-142	149	
55	42.5	0	-126	128	
56	41.25	6.25	-137	117	
57	40	-6.25	-206	107	
58	51.25	-3.75	-204	75	
59	45	3.75	-176	105	
60	42.5	-3.75	-201	102	
61	45	-8.75	-194	84	
62	43.75	0	-163	114	
63	46.25	15	-187	114	
64	52.5	5	-212	104	
65	40	8.75	-226	77	
66	42.5	15	-143	105	
67	56.25	15	-175	99	
68	40	7.5	-166	116	
69	52.5	11.25	-144	120	
70	63.75	21.25	-196	102	
71	45	0	-170	135	
72	45	10	-103	129	
73	67.5	0	-92	159	
74	55	-1.25	-75	153	
75	41.25	3.75	-69	165	
76	41.25	-3.75	-85	165	
77	42.5	-7.5	-139	168	
78	45	-17.5	-156	155	
79	50	1.25	-117	176	
80	26.25	-33.75	-139	147	
81	42.5	3.75	-196	159	
82	47.5	1.25	-131	200	
83	42.5	2.5	-93	228	
84	42.5	-3.75	-95	255	
85	76.25	10	-125	237	
86	43.75	3.75	-118	255	
87	61.25	-1.25	-67	264	
88	58.75	-5	-48	246	
89	45	11.25	-153	129	
90	50	-11.25	-187	191	
91	50	0	-165	186	
92	42.5	6.25	-157	213	
93	41.25	5	-166	203	
94	40	11.25	-151	213	
95	52.5	6.25	-169	249	
96	43.75	-8.75	-89	246	
