Trial	Xii	Yii
1	0	0	0	-1	
2	0	0	0	-1	
Trial	Xii	Yii
1	40	13.75	-23	-16	
2	40	3.75	-33	3	
3	41.25	0	-2	2	
4	36.25	18.75	-41	-25	
5	46.25	12.5	-10	-44	
6	46.25	3.75	78	-28	
7	42.5	0	46	-46	
8	40	3.75	40	-58	
9	43.75	11.25	2	-49	
10	50	-7.5	240	-34	
11	-221.25	-17.5	247	-26	
12	42.5	0	25	-22	
13	43.75	-6.25	43	-23	
14	47.5	0	35	-10	
15	41.25	-3.75	31	2	
16	41.25	1.25	10	5	
17	52.5	0	12	3	
18	40	3.75	-14	3	
19	42.5	1.25	-1	-8	
20	53.75	7.5	17	9	
21	51.25	5	8	5	
22	45	5	-6	11	
23	46.25	0	-10	8	
24	46.25	3.75	4	3	
25	43.75	7.5	0	-16	
26	46.25	0	3	-16	
27	41.25	-3.75	3	18	
28	51.25	2.5	33	-16	
29	42.5	2.5	5	-22	
30	42.5	3.75	1	-16	
31	43.75	3.75	5	-7	
32	61.25	5	-18	-8	
33	42.5	6.25	-25	-22	
34	40	12.5	-17	-20	
35	50	15	-8	-19	
36	47.5	1.25	4	2	
37	48.75	3.75	30	-7	
38	42.5	1.25	17	-2	
39	41.25	8.75	45	-20	
40	43.75	5	41	-1	
41	43.75	5	-4	-5	
42	41.25	0	21	-4	
43	61.25	3.75	31	-17	
44	47.5	0	36	-7	
45	43.75	-12.5	32	3	
46	53.75	15	8	-43	
47	42.5	0	15	-41	
48	45	2.5	19	-37	
49	42.5	6.25	-17	-43	
50	43.75	-3.75	31	-31	
51	46.25	-3.75	29	-23	
52	61.25	0	23	-23	
53	42.5	2.5	-37	-16	
54	40	-1.25	10	-19	
55	52.5	0	-11	-23	
