Trial	ObjID	LocID	FB	Task	RT	Stim
1	60	3	1	-1	803	4017	
2	22	1	1	-1	701	10008	
3	61	2	1	-1	801	15997	
4	63	4	1	-1	735	21986	
5	45	3	1	-1	1052	27975	
6	9	4	1	-1	735	33964	
7	32	2	1	-1	784	39954	
8	69	1	1	-1	885	45942	
9	54	4	1	-2	734	51932	
10	27	2	1	-2	768	57921	
11	83	1	1	-2	785	63910	
12	56	3	1	-2	835	69899	
13	26	3	1	-2	801	75889	
14	70	1	1	-2	734	81877	
15	84	2	1	-2	751	87867	
16	50	4	1	-2	651	93856	
17	93	3	1	-1	334	99845	
18	37	1	1	-1	651	105834	
19	59	2	1	-1	734	111823	
20	58	4	1	-1	635	117812	
21	38	4	1	-1	701	123802	
22	31	1	1	-1	751	129791	
23	49	3	1	-1	735	135780	
24	35	2	1	-1	702	141769	
25	4	4	1	-2	734	147759	
26	28	3	1	-2	734	153747	
27	52	1	1	-2	684	159737	
28	12	2	1	-2	685	165726	
29	43	4	1	-2	635	171715	
30	40	2	1	-2	635	177704	
31	74	1	1	-2	768	183693	
32	88	3	1	-2	684	189682	
33	23	2	0	-1	602	195688	
34	95	4	0	-1	584	201678	
35	44	3	0	-1	702	207683	
36	20	1	0	-1	584	213673	
37	34	3	0	-1	668	219678	
38	75	4	0	-1	668	225668	
39	15	1	0	-1	651	231657	
40	18	2	0	-1	751	237646	
41	51	2	1	-2	735	243635	
42	39	1	1	-2	752	249624	
43	10	3	1	-2	651	255613	
44	36	4	1	-2	751	261603	
45	13	2	1	-2	734	267592	
46	30	4	1	-2	735	273581	
47	82	3	1	-2	752	279570	
48	16	1	1	-2	702	285559	
49	73	4	0	-1	585	291548	
50	7	2	0	-1	768	297538	
51	1	1	0	-1	768	303527	
52	92	3	0	-1	735	309516	
53	17	2	0	-1	635	315505	
54	5	4	0	-1	768	321494	
55	42	1	0	-1	652	327483	
56	71	3	0	-1	651	333473	
57	21	3	1	-2	101	339462	
58	8	2	1	-2	735	345451	
59	14	4	1	-2	668	351440	
60	81	1	1	-2	785	357429	
61	19	4	1	-2	785	363418	
62	24	2	1	-2	834	369408	
63	11	1	1	-2	684	375397	
64	91	3	1	-2	685	381386	
65	29	1	0	-1	668	387375	
66	6	3	0	-1	869	393364	
67	72	4	0	-1	685	399353	
68	62	2	0	-1	1368	405343	
69	67	1	0	-1	651	411332	
70	66	4	0	-1	568	417321	
71	78	2	0	-1	635	423310	
72	33	3	0	-1	668	429299	
73	90	3	1	-2	734	435288	
74	41	4	1	-2	784	441278	
75	65	1	1	-2	868	447267	
76	89	2	1	-2	751	453256	
77	94	4	1	-2	785	459245	
78	3	3	1	-2	952	465234	
79	87	1	1	-2	734	471224	
80	25	2	1	-2	734	477229	
81	79	1	0	-1	734	483219	
82	64	2	0	-1	1002	489224	
83	57	3	0	-1	934	495214	
