Trial	ObjID	LocID	FB	Task	RT	Stim
1	6	2	1	-1	636	4019	
2	44	1	1	-1	603	10008	
3	55	3	1	-1	636	16014	
4	49	4	1	-1	635	22004	
5	1	2	1	-1	569	27993	
6	85	3	1	-1	602	33982	
7	86	1	1	-1	736	39971	
8	75	4	1	-1	636	45960	
9	16	3	1	-2	653	51966	
10	58	1	1	-2	603	57972	
11	29	4	1	-2	685	63962	
12	87	2	1	-2	636	69951	
13	94	4	1	-2	652	75940	
14	88	1	1	-2	686	81929	
15	33	2	1	-2	836	87918	
16	21	3	1	-2	736	93924	
17	95	2	1	-1	603	99930	
18	28	4	1	-1	635	105919	
19	82	3	1	-1	535	111909	
20	27	1	1	-1	702	117898	
21	62	1	1	-1	736	123887	
22	52	4	1	-1	536	129876	
23	13	3	1	-1	636	135882	
24	4	2	1	-1	569	141888	
25	9	3	1	-2	702	147877	
26	68	2	1	-2	636	153867	
27	15	1	1	-2	636	159856	
28	56	4	1	-2	603	165845	
29	72	1	1	-2	686	171834	
30	77	3	1	-2	603	177840	
31	30	2	1	-2	736	183846	
32	35	4	1	-2	669	189835	
33	14	1	0	-1	702	195825	
34	36	3	0	-1	686	201814	
35	7	4	0	-1	686	207803	
36	40	2	0	-1	670	213792	
37	54	2	0	-1	703	219798	
38	26	4	0	-1	586	225804	
39	24	3	0	-1	685	231793	
40	50	1	0	-1	652	237783	
41	23	1	1	-2	786	243772	
42	39	3	1	-2	653	249761	
43	19	2	1	-2	603	255750	
44	71	4	1	-2	653	261756	
45	67	1	1	-2	669	267746	
46	91	2	1	-2	552	273735	
47	43	4	1	-2	602	279724	
48	78	3	1	-2	636	285713	
49	81	2	0	-1	569	291702	
50	41	1	0	-1	502	297692	
51	5	3	0	-1	652	303681	
52	37	4	0	-1	753	309670	
53	63	4	0	-1	536	315659	
54	12	3	0	-1	836	321665	
55	17	2	0	-1	603	327671	
56	69	1	0	-1	952	333660	
57	73	2	1	-2	636	339650	
58	83	4	1	-2	569	345639	
59	38	1	1	-2	553	351628	
60	11	3	1	-2	569	357617	
61	59	4	1	-2	736	363623	
62	79	1	1	-2	553	369629	
63	46	2	1	-2	569	375619	
64	96	3	1	-2	702	381608	
65	8	2	0	-1	669	387597	
66	47	3	0	-1	586	393586	
67	32	4	0	-1	553	399575	
68	92	1	0	-1	636	405581	
69	18	2	0	-1	802	411571	
70	31	3	0	-1	586	417560	
71	74	4	0	-1	586	423549	
72	64	1	0	-1	703	429538	
73	34	4	1	-2	569	435527	
74	10	1	1	-2	602	441534	
75	60	3	1	-2	636	447539	
76	80	2	1	-2	735	453529	
77	89	4	1	-2	636	459518	
78	61	1	1	-2	602	465507	
79	84	3	1	-2	553	471496	
80	3	2	1	-2	735	477485	
81	66	2	0	-1	652	483475	
82	25	1	0	-1	1036	489464	
83	22	4	0	-1	686	495453	
84	57	3	0	-1	569	501442	
85	51	3	0	-1	569	507448	
86	20	2	0	-1	753	513454	
87	53	1	0	-1	585	519443	
88	45	4	0	-1	770	525449	
