Trial	ObjID	LocID	FB	Task	RT	Stim
1	93	4	1	-1	686	4013	
2	27	2	1	-1	970	10019	
3	12	3	1	-1	1169	16008	
4	94	1	1	-1	902	21998	
5	77	2	1	-1	836	27987	
6	87	1	1	-1	903	33976	
7	92	3	1	-1	886	39965	
8	17	4	1	-1	852	45955	
9	75	1	1	-2	869	51944	
10	83	2	1	-2	1136	57933	
11	15	4	1	-2	986	63922	
12	45	3	1	-2	1136	69912	
13	23	2	1	-2	1236	75901	
14	57	1	1	-2	636	81890	
15	20	3	1	-2	636	87879	
16	38	4	1	-2	735	93869	
17	30	1	1	-1	602	99858	
18	79	2	1	-1	669	105847	
19	34	3	1	-1	703	111836	
20	4	4	1	-1	636	117825	
21	3	2	1	-1	585	123815	
22	68	3	1	-1	736	129804	
23	19	4	1	-1	603	135793	
24	51	1	1	-1	686	141782	
25	82	4	1	-2	669	147772	
26	40	2	1	-2	802	153761	
27	46	3	1	-2	769	159750	
28	86	1	1	-2	703	165739	
29	73	2	1	-2	769	171729	
30	67	4	1	-2	736	177718	
31	36	1	1	-2	786	183707	
32	42	3	1	-2	769	189696	
33	13	1	0	-1	852	195685	
34	14	4	0	-1	686	201675	
35	78	2	0	-1	652	207664	
36	37	3	0	-1	886	213653	
37	31	3	0	-1	586	219642	
38	48	1	0	-1	602	225632	
39	47	4	0	-1	602	231621	
40	11	2	0	-1	753	237610	
41	33	2	1	-2	753	243599	
42	59	1	1	-2	586	249605	
43	71	3	1	-2	652	255594	
44	56	4	1	-2	786	261584	
45	81	3	1	-2	636	267573	
46	61	2	1	-2	803	273562	
47	70	4	1	-2	636	279551	
48	74	1	1	-2	836	285541	
49	88	3	0	-1	636	291530	
50	65	4	0	-1	753	297519	
51	32	1	0	-1	536	303508	
52	52	2	0	-1	686	309514	
53	64	4	0	-1	785	315503	
54	90	2	0	-1	602	321493	
55	18	1	0	-1	569	327482	
56	76	3	0	-1	753	333471	
57	80	3	1	-2	653	339460	
58	72	4	1	-2	702	345450	
59	5	1	1	-2	636	351439	
60	43	2	1	-2	653	357428	
61	85	1	1	-2	753	363417	
62	22	4	1	-2	753	369423	
63	35	3	1	-2	735	375412	
64	39	2	1	-2	602	381402	
65	41	4	0	-1	736	387391	
66	29	1	0	-1	769	393380	
67	60	3	0	-1	653	399369	
68	10	2	0	-1	602	405359	
69	66	4	0	-1	669	411348	
70	16	1	0	-1	653	417337	
71	50	2	0	-1	1037	423326	
72	26	3	0	-1	637	429316	
73	6	2	1	-2	802	435305	
74	55	3	1	-2	636	441294	
75	28	4	1	-2	636	447283	
76	62	1	1	-2	669	453273	
77	53	3	1	-2	669	459262	
78	8	1	1	-2	703	465251	
79	58	4	1	-2	486	471240	
80	95	2	1	-2	469	477229	
81	63	2	0	-1	652	483219	
82	84	1	0	-1	736	489208	
83	49	4	0	-1	769	495197	
84	91	3	0	-1	586	501186	
85	21	2	0	-1	535	507176	
86	1	1	0	-1	586	513165	
87	9	3	0	-1	636	519154	
88	24	4	0	-1	836	525143	
