Trial	ObjID	LocID	FB	Task	RT	Stim
1	67	2	1	-1	1500	4018	
2	87	4	1	-1	1500	10007	
Trial	ObjID	LocID	FB	Task	RT	Stim
1	17	4	1	-1	737	4013	
2	60	1	1	-1	669	10003	
3	75	3	1	-1	653	15992	
4	81	2	1	-1	736	21981	
5	63	1	1	-1	1387	27970	
6	14	2	1	-1	603	33976	
7	54	3	1	-1	603	39965	
8	19	4	1	-1	703	45971	
9	16	2	1	-2	552	51960	
10	44	1	1	-2	653	57966	
11	12	4	1	-2	602	63955	
12	2	3	1	-2	653	69961	
13	56	2	1	-2	652	75950	
14	49	3	1	-2	686	81956	
15	94	4	1	-2	669	87946	
16	74	1	1	-2	586	93951	
17	8	2	1	-1	636	99957	
18	69	4	1	-1	536	105946	
19	22	1	1	-1	769	111952	
20	92	3	1	-1	653	117941	
21	65	3	1	-1	553	123947	
22	58	4	1	-1	553	129936	
23	23	1	1	-1	536	135942	
24	47	2	1	-1	986	141932	
25	64	2	1	-2	436	147937	
26	29	4	1	-2	585	153927	
27	25	1	1	-2	553	159932	
28	84	3	1	-2	702	165921	
29	1	3	1	-2	536	171927	
30	38	1	1	-2	435	177917	
31	48	4	1	-2	553	183922	
32	61	2	1	-2	586	189928	
33	77	3	0	-1	1137	195917	
34	9	4	0	-1	936	201923	
35	4	2	0	-1	636	207912	
36	83	1	0	-1	686	213918	
37	3	1	0	-1	703	219907	
38	33	2	0	-1	886	225913	
39	15	4	0	-1	785	231902	
40	34	3	0	-1	770	237908	
41	20	1	1	-2	535	243897	
42	86	4	1	-2	586	249903	
43	96	2	1	-2	635	255892	
44	35	3	1	-2	553	261898	
45	7	4	1	-2	569	267888	
46	46	3	1	-2	536	273893	
47	41	2	1	-2	636	279899	
48	42	1	1	-2	553	285888	
49	70	3	0	-1	503	291894	
50	85	2	0	-1	836	297883	
51	6	1	0	-1	936	303889	
52	93	4	0	-1	586	309878	
53	95	2	0	-1	753	315884	
54	88	1	0	-1	535	321873	
55	45	4	0	-1	703	327879	
56	31	3	0	-1	735	333869	
57	5	3	1	-2	736	339874	
58	32	1	1	-2	569	345864	
59	66	2	1	-2	503	351869	
60	53	4	1	-2	535	357859	
61	43	2	1	-2	536	363864	
62	10	4	1	-2	536	369870	
63	62	3	1	-2	486	375859	
64	72	1	1	-2	536	381865	
65	24	2	0	-1	486	387854	
66	28	4	0	-1	503	393860	
67	80	3	0	-1	602	399849	
68	36	1	0	-1	736	405855	
69	39	2	0	-1	835	411844	
70	40	3	0	-1	936	417850	
71	67	4	0	-1	535	423839	
72	13	1	0	-1	553	429845	
73	79	1	1	-2	635	435835	
74	91	4	1	-2	586	441840	
75	71	2	1	-2	635	447830	
76	90	3	1	-2	486	453835	
77	68	4	1	-2	503	459841	
78	87	1	1	-2	636	465830	
79	27	2	1	-2	536	471836	
80	30	3	1	-2	1304	477825	
81	89	2	0	-1	536	483831	
