Trial	Xii	Yii
1	42.5	17.5	-3	-11	
2	46.25	2.5	31	-13	
3	38.75	12.5	9	29	
4	52.5	2.5	-40	48	
5	50	3.75	-55	47	
6	66.25	5	-38	38	
7	50	3.75	-10	39	
8	47.5	5	-58	29	
9	45	0	-55	15	
10	50	0	-10	12	
11	40	8.75	-50	-4	
12	51.25	0	-59	-20	
13	66.25	-1.25	-54	-13	
14	45	10	-42	-16	
15	41.25	11.25	-78	-11	
16	46.25	10	-105	-25	
17	65	-3.75	-76	-13	
18	45	16.25	-70	-14	
19	61.25	0	-40	-16	
20	58.75	12.5	-63	-7	
21	60	-1.25	-52	-1	
22	45	3.75	-62	-14	
23	45	3.75	-48	-19	
24	60	0	-74	-19	
25	60	3.75	-48	-11	
26	66.25	3.75	-67	-19	
27	52.5	7.5	-60	-16	
28	68.75	-1.25	-63	-1	
29	42.5	3.75	-61	-7	
30	76.25	0	-84	-13	
31	63.75	-2.5	-88	-11	
32	40	3.75	-91	-4	
33	53.75	1.25	-94	-11	
34	82.5	10	-84	-16	
35	55	7.5	-69	-13	
36	41.25	2.5	-35	6	
37	47.5	1.25	-48	-8	
38	61.25	7.5	-57	-13	
39	62.5	11.25	-49	-13	
40	43.75	3.75	-56	-7	
41	42.5	8.75	-57	-17	
42	72.5	6.25	-35	-16	
43	55	7.5	-36	-25	
44	43.75	0	-35	-22	
45	77.5	11.25	-51	-19	
46	48.75	3.75	-48	-19	
47	41.25	3.75	-31	-13	
48	45	5	-54	-17	
49	57.5	10	-54	-19	
50	51.25	-1.25	-90	-28	
51	0	0	-78	-37	
52	42.5	11.25	-83	-40	
53	47.5	3.75	-71	-28	
