Trial	X	Y
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	17.5	-10	
1	26.25	-10	
1	36.25	-10	
1	50	-7.5	
1	81.25	-3.75	
1	117.5	-6.25	
1	152.5	-10	
1	185	-13.75	
1	200	-11.25	
1	213.75	-10	
1	242.5	-2.5	
1	270	5	
1	281.25	8.75	
1	293.75	15	
1	303.75	18.75	
1	333.75	30	
1	347.5	33.75	
1	347.5	33.75	
1	347.5	33.75	
1	347.5	33.75	
1	347.5	33.75	
1	347.5	33.75	
1	347.5	33.75	
1	347.5	33.75	
1	347.5	33.75	
1	347.5	33.75	
1	347.5	33.75	
1	347.5	33.75	
1	347.5	33.75	
1	347.5	33.75	
1	347.5	33.75	
1	347.5	33.75	
1	347.5	33.75	
1	347.5	33.75	
1	347.5	33.75	
1	347.5	33.75	
1	347.5	33.75	
1	347.5	33.75	
1	347.5	33.75	
1	347.5	33.75	
1	347.5	33.75	
1	347.5	33.75	
1	347.5	33.75	
1	347.5	33.75	
1	347.5	33.75	
1	347.5	33.75	
1	347.5	33.75	
1	347.5	33.75	
1	347.5	33.75	
1	347.5	33.75	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	-1.25	1.25	
2	-1.25	1.25	
2	-1.25	1.25	
2	-1.25	1.25	
2	-1.25	1.25	
2	-1.25	1.25	
2	-1.25	1.25	
2	-1.25	1.25	
2	-1.25	1.25	
2	-1.25	1.25	
2	-1.25	1.25	
2	-1.25	1.25	
2	-1.25	1.25	
2	-1.25	1.25	
2	-1.25	1.25	
2	0	1.25	
2	1.25	0	
2	5	-3.75	
2	10	-6.25	
2	25	-7.5	
2	50	-2.5	
2	83.75	5	
2	100	7.5	
2	116.25	5	
2	130	1.25	
2	167.5	-17.5	
2	192.5	-22.5	
2	205	-22.5	
2	218.75	-21.25	
2	236.25	-25	
2	246.25	-28.75	
2	251.25	-32.5	
2	252.5	-33.75	
2	255	-36.25	
2	255	-36.25	
2	257.5	-36.25	
2	257.5	-36.25	
2	257.5	-37.5	
2	257.5	-37.5	
2	257.5	-37.5	
2	257.5	-37.5	
2	257.5	-37.5	
2	257.5	-37.5	
2	257.5	-37.5	
2	257.5	-37.5	
2	257.5	-37.5	
2	257.5	-37.5	
2	257.5	-37.5	
2	257.5	-37.5	
2	257.5	-37.5	
2	257.5	-37.5	
2	257.5	-37.5	
2	257.5	-37.5	
2	257.5	-37.5	
2	257.5	-37.5	
2	257.5	-37.5	
2	257.5	-37.5	
2	257.5	-37.5	
2	257.5	-37.5	
2	257.5	-37.5	
2	257.5	-37.5	
2	257.5	-37.5	
2	257.5	-37.5	
2	257.5	-37.5	
2	257.5	-37.5	
2	257.5	-37.5	
2	257.5	-37.5	
2	257.5	-37.5	
2	257.5	-37.5	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	-1.25	0	
3	-1.25	0	
3	-1.25	0	
3	-1.25	3.75	
3	-1.25	3.75	
3	-1.25	3.75	
3	-1.25	3.75	
3	3.75	0	
3	16.25	5	
3	26.25	5	
3	37.5	5	
3	51.25	7.5	
3	102.5	7.5	
3	121.25	5	
3	161.25	0	
3	180	0	
3	198.75	0	
3	241.25	-3.75	
3	255	-7.5	
3	258.75	-7.5	
3	262.5	-8.75	
3	265	-11.25	
3	268.75	-11.25	
3	270	-11.25	
3	271.25	-11.25	
3	271.25	-11.25	
3	271.25	-11.25	
3	272.5	-12.5	
3	272.5	-12.5	
3	272.5	-12.5	
3	272.5	-12.5	
3	272.5	-12.5	
3	272.5	-12.5	
3	272.5	-12.5	
3	272.5	-12.5	
3	272.5	-12.5	
3	272.5	-12.5	
3	272.5	-12.5	
3	272.5	-12.5	
3	272.5	-12.5	
3	272.5	-12.5	
3	272.5	-12.5	
3	272.5	-12.5	
3	272.5	-12.5	
3	272.5	-12.5	
3	272.5	-12.5	
3	272.5	-12.5	
3	272.5	-12.5	
3	272.5	-12.5	
3	272.5	-12.5	
3	272.5	-12.5	
3	272.5	-12.5	
3	272.5	-12.5	
3	272.5	-12.5	
3	272.5	-12.5	
3	272.5	-12.5	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	5	0	
4	8.75	-1.25	
4	25	0	
4	52.5	0	
4	68.75	2.5	
4	107.5	2.5	
4	150	-3.75	
4	170	-7.5	
4	192.5	-11.25	
4	237.5	-12.5	
4	263.75	-12.5	
4	275	-15	
4	288.75	-15	
4	297.5	-16.25	
4	298.75	-16.25	
4	303.75	-16.25	
4	305	-18.75	
4	305	-18.75	
4	306.25	-18.75	
4	307.5	-18.75	
4	307.5	-18.75	
4	307.5	-18.75	
4	307.5	-18.75	
4	307.5	-18.75	
4	307.5	-18.75	
4	307.5	-18.75	
4	307.5	-18.75	
4	307.5	-18.75	
4	307.5	-18.75	
4	307.5	-18.75	
4	307.5	-18.75	
4	307.5	-18.75	
4	307.5	-18.75	
4	307.5	-18.75	
4	307.5	-18.75	
4	307.5	-18.75	
4	307.5	-18.75	
4	307.5	-18.75	
4	307.5	-18.75	
4	307.5	-18.75	
4	307.5	-18.75	
4	307.5	-18.75	
4	307.5	-18.75	
4	307.5	-18.75	
4	307.5	-16.25	
4	307.5	-16.25	
4	307.5	-16.25	
4	307.5	-16.25	
4	307.5	-16.25	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	-1.25	-2.5	
5	-1.25	-2.5	
5	-1.25	-2.5	
5	-1.25	-2.5	
5	-1.25	-2.5	
5	-1.25	-2.5	
5	-1.25	-2.5	
5	-1.25	-2.5	
5	-1.25	-2.5	
5	5	-2.5	
5	10	-2.5	
5	27.5	-2.5	
5	40	0	
5	53.75	0	
5	100	-2.5	
5	117.5	-3.75	
5	137.5	-3.75	
5	182.5	-6.25	
5	205	-6.25	
5	262.5	-6.25	
5	275	-6.25	
5	291.25	-6.25	
5	296.25	-6.25	
5	300	-6.25	
5	306.25	-7.5	
5	307.5	-7.5	
5	308.75	-7.5	
5	308.75	-6.25	
5	308.75	-6.25	
5	310	-6.25	
5	310	-6.25	
5	310	-6.25	
5	310	-6.25	
5	310	-6.25	
5	310	-6.25	
5	310	-6.25	
5	310	-6.25	
5	310	-6.25	
5	311.25	-7.5	
5	311.25	-7.5	
5	311.25	-7.5	
5	311.25	-7.5	
5	311.25	-7.5	
5	311.25	-7.5	
5	311.25	-7.5	
5	311.25	-7.5	
5	311.25	-7.5	
5	311.25	-7.5	
5	311.25	-7.5	
5	311.25	-7.5	
5	311.25	-7.5	
5	311.25	-7.5	
5	311.25	-7.5	
5	311.25	-7.5	
5	311.25	-7.5	
5	311.25	-7.5	
5	311.25	-7.5	
5	311.25	-7.5	
5	311.25	-7.5	
5	311.25	-7.5	
5	311.25	-7.5	
5	311.25	-7.5	
5	311.25	-7.5	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	1.25	0	
6	6.25	0	
6	11.25	0	
6	27.5	-1.25	
6	48.75	-3.75	
6	75	-8.75	
6	90	-16.25	
6	105	-21.25	
6	120	-27.5	
6	177.5	-42.5	
6	200	-42.5	
6	226.25	-43.75	
6	250	-46.25	
6	286.25	-47.5	
6	305	-53.75	
6	316.25	-55	
6	320	-57.5	
6	322.5	-57.5	
6	326.25	-57.5	
6	328.75	-57.5	
6	330	-57.5	
6	330	-57.5	
6	331.25	-57.5	
6	331.25	-57.5	
6	331.25	-57.5	
6	331.25	-57.5	
6	331.25	-57.5	
6	331.25	-57.5	
6	331.25	-57.5	
6	331.25	-57.5	
6	331.25	-57.5	
6	331.25	-57.5	
6	331.25	-57.5	
6	331.25	-57.5	
6	331.25	-57.5	
6	331.25	-57.5	
6	331.25	-57.5	
6	331.25	-55	
6	331.25	-55	
6	331.25	-55	
6	331.25	-55	
6	331.25	-55	
6	331.25	-55	
6	331.25	-55	
6	331.25	-55	
6	331.25	-55	
6	331.25	-55	
6	331.25	-55	
6	332.5	-53.75	
6	332.5	-53.75	
6	332.5	-53.75	
6	332.5	-53.75	
6	332.5	-53.75	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	5	-1.25	
7	7.5	-3.75	
7	12.5	-3.75	
7	25	-7.5	
7	32.5	-7.5	
7	65	-11.25	
7	78.75	-11.25	
7	92.5	-11.25	
7	107.5	-11.25	
7	125	-11.25	
7	177.5	-12.5	
7	193.75	-12.5	
7	208.75	-15	
7	237.5	-15	
7	250	-16.25	
7	280	-15	
7	287.5	-15	
7	293.75	-11.25	
7	298.75	-11.25	
7	306.25	-8.75	
7	311.25	-7.5	
7	311.25	-7.5	
7	312.5	-7.5	
7	313.75	-7.5	
7	313.75	-7.5	
7	313.75	-7.5	
7	313.75	-7.5	
7	313.75	-7.5	
7	313.75	-7.5	
7	315	-7.5	
7	315	-7.5	
7	315	-7.5	
7	315	-7.5	
7	315	-7.5	
7	315	-7.5	
7	315	-7.5	
7	315	-7.5	
7	315	-7.5	
7	315	-7.5	
7	315	-7.5	
7	315	-7.5	
7	315	-7.5	
7	315	-7.5	
7	315	-7.5	
7	315	-7.5	
7	315	-7.5	
7	315	-7.5	
7	315	-7.5	
7	315	-7.5	
7	315	-7.5	
7	315	-7.5	
7	315	-7.5	
7	315	-7.5	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	12.5	-3.75	
8	18.75	-5	
8	28.75	-7.5	
8	42.5	-7.5	
8	71.25	-12.5	
8	127.5	-23.75	
8	147.5	-27.5	
8	168.75	-31.25	
8	212.5	-38.75	
8	235	-42.5	
8	235	-42.5	
8	235	-42.5	
8	235	-42.5	
8	235	-42.5	
8	235	-42.5	
8	235	-42.5	
8	235	-42.5	
8	235	-42.5	
8	235	-42.5	
8	235	-42.5	
8	235	-42.5	
8	235	-42.5	
8	235	-42.5	
8	235	-42.5	
8	235	-42.5	
8	235	-42.5	
8	235	-42.5	
8	235	-42.5	
8	235	-42.5	
8	235	-42.5	
8	235	-42.5	
8	235	-42.5	
8	235	-42.5	
8	235	-42.5	
8	235	-42.5	
8	235	-42.5	
8	235	-42.5	
8	235	-42.5	
8	235	-42.5	
8	235	-42.5	
8	235	-42.5	
8	235	-42.5	
8	235	-42.5	
8	235	-42.5	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	-1.25	2.5	
9	-1.25	2.5	
9	-1.25	2.5	
9	-1.25	2.5	
9	-1.25	2.5	
9	-1.25	2.5	
9	-1.25	2.5	
9	-1.25	2.5	
9	-1.25	2.5	
9	-1.25	2.5	
9	-1.25	2.5	
9	-1.25	2.5	
9	-1.25	2.5	
9	-1.25	2.5	
9	-1.25	2.5	
9	-1.25	2.5	
9	1.25	0	
9	8.75	-1.25	
9	15	-3.75	
9	22.5	-3.75	
