Trial	Xii	Yii
1	45	-7.5	51	33	
2	41.25	0	67	39	
3	51.25	0	42	54	
4	50	6.25	66	78	
5	40	-15	41	68	
6	52.5	-13.75	18	80	
7	48.75	-2.5	8	95	
8	40	-13.75	31	131	
9	56.25	0	78	126	
10	36.25	-20	66	129	
11	41.25	-18.75	45	144	
12	55	-8.75	31	168	
13	48.75	6.25	4	156	
14	40	-3.75	9	180	
15	41.25	-18.75	61	219	
16	46.25	-15	46	228	
17	42.5	-8.75	60	213	
18	45	-2.5	67	230	
19	51.25	-11.25	72	225	
20	36.25	-17.5	110	209	
21	55	5	61	254	
22	40	13.75	68	267	
23	41.25	1.25	81	260	
24	41.25	0	65	252	
25	52.5	0	75	254	
26	41.25	1.25	80	263	
27	42.5	21.25	95	282	
28	43.75	18.75	86	246	
29	43.75	3.75	64	258	
30	48.75	3.75	72	264	
31	43.75	0	87	270	
32	61.25	17.5	63	255	
33	43.75	7.5	71	270	
34	51.25	2.5	73	261	
35	43.75	3.75	77	254	
36	40	7.5	98	258	
37	42.5	-11.25	99	264	
38	45	-23.75	98	267	
39	53.75	-3.75	62	258	
40	41.25	5	54	230	
41	42.5	11.25	87	249	
42	47.5	11.25	93	252	
43	50	0	121	282	
44	56.25	2.5	99	276	
45	46.25	3.75	66	258	
46	47.5	-3.75	85	300	
47	71.25	13.75	67	270	
48	51.25	10	102	306	
49	72.5	-7.5	90	315	
50	47.5	-2.5	114	272	
51	45	-3.75	124	282	
52	57.5	6.25	113	291	
53	45	-1.25	113	309	
54	51.25	15	135	314	
55	43.75	-8.75	154	330	
56	42.5	-3.75	108	305	
57	41.25	11.25	38	105	
58	40	-3.75	75	153	
59	72.5	6.25	70	138	
60	53.75	-7.5	82	180	
61	45	0	107	219	
62	40	-7.5	90	210	
63	42.5	3.75	81	213	
64	40	-7.5	110	213	
65	46.25	5	30	143	
66	52.5	12.5	67	155	
67	-25	31.25	113	95	
68	46.25	11.25	69	96	
69	56.25	-3.75	73	126	
70	43.75	7.5	75	123	
71	57.5	15	69	105	
72	42.5	3.75	65	132	
73	50	7.5	64	144	
74	47.5	2.5	78	150	
75	41.25	0	103	174	
76	40	5	67	167	
77	40	-3.75	104	210	
78	48.75	0	73	132	
79	46.25	1.25	93	191	
80	48.75	3.75	128	201	
81	58.75	11.25	73	180	
82	38.75	13.75	80	198	
83	41.25	-11.25	107	216	
84	41.25	-2.5	114	203	
85	52.5	0	135	234	
86	42.5	2.5	122	222	
87	50	-18.75	100	224	
88	41.25	-7.5	78	207	
89	33.75	26.25	113	30	
90	37.5	27.5	89	83	
91	40	7.5	36	149	
92	38.75	-10	78	185	
93	38.75	-11.25	96	237	
94	48.75	-6.25	69	236	
95	41.25	6.25	82	261	
96	60	0	81	246	
