"Rt. fusiform gyrus (BA37, lateroventral)"
"Lt. parahippocampal gyrus (BA35/36, rostral)"
"Rt. parahippocampal gyrus (BA35/36, rostral)"
"Lt. parahippocampal gyrus (BA35/36, caudal)"
"Rt. parahippocampal gyrus (BA35/36, caudal)"
"Lt. parahippocampal gyrus (area TL, lateral PPHC, lateral posterior parahippocampal gyrus)"
"Rt. parahippocampal gyrus (area TL, lateral PPHC, lateral posterior parahippocampal gyrus)"
"Lt. parahippocampal gyrus (BA28/34, EC, entorhinal cortex)"
"Rt. parahippocampal gyrus (BA28/34, EC, entorhinal cortex)"
"Lt. parahippocampal gyrus (area TI, temporal agranular insular cortex)"
"Rt. parahippocampal gyrus (area TI, temporal agranular insular cortex)"
"Lt. parahippocampal gyrus (area TH, medial PPHC, medial posterior parahippocampal gyrus)"
"Rt. parahippocampal gyrus (area TH, medial PPHC, medial posterior parahippocampal gyrus)"
"Lt. posterior superior temporal sulcus (rpSTS, rostroposterior superior temporal sulcus)"
"Rt. posterior superior temporal sulcus (rpSTS, rostroposterior superior temporal sulcus)"
"Lt. posterior superior temporal sulcus (cpSTS, caudoposterior superior temporal sulcus)"
"Rt. posterior superior temporal sulcus (cpSTS, caudoposterior superior temporal sulcus)"
"Lt. superior parietal lobule (BA7, rostral)"
"Rt. superior parietal lobule (BA7, rostral)"
"Lt. superior parietal lobule (BA7, caudal)"
"Rt. superior parietal lobule (BA7, caudal)"
"Lt. superior parietal lobule (BA5, lateral)"
"Rt. superior parietal lobule (BA5, lateral)"
"Lt. superior parietal lobule (BA7, postcentral)"
"Rt. superior parietal lobule (BA7, postcentral)"
"Lt. superior parietal lobule (BA7, intraparietal)"
"Rt. superior parietal lobule (BA7, intraparietal)"
"Lt. inferior parietal lobule (BA39, caudal, area PGp)"
"Rt. inferior parietal lobule (BA39, caudal, area PGp)"
"Lt. inferior parietal lobule (BA39, rostrodorsal, area Hip3)"
"Rt. inferior parietal lobule (BA39, rostrodorsal, area Hip3)"
"Lt. inferior parietal lobule (BA40, rostrodorsal, area PFt)"
"Rt. inferior parietal lobule (BA40, rostrodorsal, area PFt)"
"Lt. inferior parietal lobule (BA40, caudal, area PFm)"
"Rt. inferior parietal lobule (BA40, caudal, area PFm)"
"Lt. inferior parietal lobule (BA39, rostroventral, area PGa)"
"Rt. inferior parietal lobule (BA39, rostroventral, area PGa)"
"Lt. inferior parietal lobule (BA40, rostroventral, area PFop)"
"Rt. inferior parietal lobule (BA40, rostroventral, area PFop)"
"Lt. precuneus (BA7, medial, area PEp)"
"Rt. precuneus (BA7, medial, area PEp)"
"Lt. precuneus (BA5, medial, area PEm)"
"Rt. precuneus (BA5, medial, area PEm)"
"Lt. precuneus (area PEr, dmPOS, dorsomedial parietooccipital sulcus)"
"Rt. precuneus (area PEr, dmPOS, dorsomedial parietooccipital sulcus)"
"Lt. precuneus (BA31, area Lc1)"
"Rt. precuneus (BA31, area Lc1)"
"Lt. postcentral gyrus (BA1/2/3, upper limb, head, and face)"
"Rt. postcentral gyrus (BA1/2/3, upper limb, head, and face)"
"Lt. postcentral gyrus (BA1/2/3, tongue and larynx)"
"Rt. postcentral gyrus (BA1/2/3, tongue and larynx)"
Lt. postcentral gyrus (BA2)
Rt. postcentral gyrus (BA2)
"Lt. postcentral gyrus (BA1/2/3, trunk)"
"Rt. postcentral gyrus (BA1/2/3, trunk)"
"Lt. insular gyrus (G, hypergranular)"
"Rt. insular gyrus (G, hypergranular)"
"Lt. insular gyrus (vIa, ventral agranular)"
"Rt. insular gyrus (vIa, ventral agranular)"
"Lt. insular gyrus (dIa, dorsal agranular)"
"Rt. insular gyrus (dIa, dorsal agranular)"
"Lt. insular gyrus (vId/vIg, ventral dysgranular and granular)"
"Rt. insular gyrus (vId/vIg, ventral dysgranular and granular)"
"Lt. insular gyrus (dIg, dorsal granular)"
