Trial	ObjID	LocID	FB	Task	RT	Stim
1	36	1	1	-1	542	4013	
2	95	3	1	-1	729	10020	
3	89	4	1	-1	446	16030	
4	53	2	1	-1	413	22040	
5	56	3	1	-1	496	28050	
6	55	2	1	-1	545	34060	
7	57	1	1	-1	464	40069	
8	71	4	1	-1	413	46079	
9	17	3	1	-2	446	52089	
10	33	1	1	-2	496	58099	
11	45	4	1	-2	462	64109	
12	92	2	1	-2	446	70118	
13	2	2	1	-2	496	76128	
14	34	4	1	-2	629	82138	
15	32	3	1	-2	429	88148	
16	66	1	1	-2	596	94158	
17	1	3	1	-1	512	100168	
18	60	4	1	-1	546	106178	
19	47	2	1	-1	495	112188	
20	16	1	1	-1	596	118197	
21	62	3	1	-1	563	124207	
22	4	4	1	-1	762	130217	
23	86	1	1	-1	496	136227	
24	40	2	1	-1	396	142237	
25	93	1	1	-2	496	148247	
26	61	4	1	-2	463	154256	
27	9	3	1	-2	413	160266	
28	46	2	1	-2	496	166276	
29	58	2	1	-2	496	172286	
30	44	4	1	-2	429	178296	
31	6	1	1	-2	496	184306	
32	65	3	1	-2	462	190315	
33	37	1	0	-1	530	196325	
34	11	2	0	-1	446	202335	
35	91	4	0	-1	429	208345	
36	87	3	0	-1	446	214355	
Trial	ObjID	LocID	FB	Task	RT	Stim
1	86	3	1	-1	305	4011	
2	61	2	1	-1	1500	10013	
Trial	ObjID	LocID	FB	Task	RT	Stim
1	8	4	1	-1	1500	4015	
2	4	3	1	-1	1500	10022	
Trial	ObjID	LocID	FB	Task	RT	Stim
1	74	2	1	-1	1500	4010	
2	40	3	1	-1	1500	10018	
Trial	ObjID	LocID	FB	Task	RT	Stim
1	81	2	1	-1	1500	4011	
2	15	1	1	-1	585	9998	
3	23	4	1	-1	635	15987	
4	78	3	1	-1	735	21976	
5	45	4	1	-1	834	27966	
6	19	3	1	-1	584	33955	
7	94	2	1	-1	584	39960	
8	13	1	1	-1	652	45949	
9	44	1	1	-2	701	51939	
10	68	4	1	-2	652	57944	
11	4	3	1	-2	584	63933	
12	82	2	1	-2	601	69923	
13	16	1	1	-2	585	75928	
14	9	3	1	-2	668	81917	
15	86	4	1	-2	601	87907	
16	2	2	1	-2	568	93912	
17	14	3	1	-1	685	99901	
18	62	4	1	-1	584	105891	
19	57	1	1	-1	552	111896	
20	18	2	1	-1	701	117886	
21	84	2	1	-1	484	123875	
22	66	3	1	-1	552	129880	
23	28	4	1	-1	552	135869	
24	72	1	1	-1	601	141859	
25	50	2	1	-2	601	147848	
26	69	3	1	-2	602	153853	
27	27	1	1	-2	567	159842	
28	22	4	1	-2	568	165832	
29	74	2	1	-2	551	171837	
30	36	3	1	-2	551	177827	
31	29	1	1	-2	701	183816	
32	51	4	1	-2	668	189821	
33	53	3	0	-1	567	195811	
34	58	1	0	-1	634	201800	
35	11	2	0	-1	668	207805	
36	26	4	0	-1	451	213794	
37	41	2	0	-1	651	219784	
38	40	3	0	-1	602	225789	
39	89	4	0	-1	601	231778	
40	5	1	0	-1	651	237768	
41	54	2	1	-2	667	243774	
42	8	4	1	-2	651	249763	
43	37	1	1	-2	1135	255752	
44	35	3	1	-2	635	261757	
45	64	4	1	-2	784	267746	
46	1	1	1	-2	584	273736	
47	60	2	1	-2	602	279741	
48	39	3	1	-2	684	285730	
49	79	2	0	-1	634	291720	
50	20	4	0	-1	635	297725	
51	88	1	0	-1	1035	303714	
52	63	3	0	-1	117	309704	
53	7	4	0	-1	635	315709	
54	56	3	0	-1	1500	321698	
55	49	2	0	-1	551	327688	
56	75	1	0	-1	668	333693	
57	85	1	1	-2	1035	339682	
58	76	4	1	-2	784	345672	
59	34	2	1	-2	585	351677	
60	95	3	1	-2	1486	357666	
61	47	3	1	-2	634	363655	
62	83	1	1	-2	552	369661	
63	24	4	1	-2	602	375650	
64	38	2	1	-2	634	381640	
65	93	1	0	-1	652	387645	
66	21	4	0	-1	552	393634	
67	65	3	0	-1	601	399624	
68	61	2	0	-1	802	405629	
69	91	4	0	-1	585	411618	
70	87	3	0	-1	634	417608	
71	32	2	0	-1	702	423613	
72	3	1	0	-1	735	429602	
73	31	1	1	-2	834	435592	
74	80	4	1	-2	552	441597	
75	25	2	1	-2	668	447586	
76	73	3	1	-2	734	453576	
77	30	2	1	-2	634	459565	
78	77	3	1	-2	535	465570	
79	70	4	1	-2	367	471559	
80	12	1	1	-2	634	477549	
81	59	4	0	-1	668	483554	
82	67	3	0	-1	601	489543	
83	55	2	0	-1	634	495533	
84	17	1	0	-1	652	501538	
85	90	4	0	-1	884	507527	
86	43	1	0	-1	701	513517	
87	92	2	0	-1	735	519522	
88	48	3	0	-1	651	525512	
89	6	2	1	-2	705	4007	
90	10	3	1	-2	1500	10016	
91	96	1	1	-2	684	16006	
92	71	4	1	-2	734	21995	
93	42	2	1	-2	752	28000	
94	46	4	1	-2	568	33989	
95	52	3	1	-2	567	39979	
96	33	1	1	-2	602	45984	
