Trial	Xii	Yii
Trial	Xii	Yii
1	0	0	50	-60	
2	21.25	-51.25	-18	77	
3	40	1.25	-17	16	
4	58.75	3.75	-8	33	
5	-48.75	18.75	45	27	
6	43.75	1.25	16	-2	
7	46.25	5	8	-14	
8	42.5	0	-46	-1	
9	65	3.75	-38	-16	
10	58.75	8.75	-66	-11	
11	-8.75	-40	-73	-26	
12	45	17.5	-47	-37	
13	48.75	3.75	-51	-13	
14	41.25	10	-34	3	
15	53.75	15	-47	6	
16	40	11.25	-38	24	
17	47.5	11.25	-51	18	
18	35	26.25	-50	-13	
19	57.5	7.5	-59	21	
20	45	3.75	-54	24	
21	65	1.25	-45	26	
22	45	16.25	-61	-4	
23	43.75	18.75	-76	21	
24	41.25	18.75	-84	60	
25	48.75	22.5	-71	27	
26	42.5	7.5	-55	42	
27	45	0	-55	11	
28	38.75	12.5	-71	-20	
29	0	0	-45	-32	
30	67.5	15	-53	-16	
31	75	10	-69	9	
32	45	16.25	-95	5	
33	46.25	12.5	-81	17	
34	47.5	5	-74	26	
35	41.25	13.75	-65	21	
36	65	17.5	-60	-11	
37	38.75	16.25	-55	-7	
38	65	26.25	-67	12	
39	42.5	2.5	-55	-10	
40	47.5	6.25	-55	-16	
41	45	3.75	-62	17	
42	58.75	7.5	-71	3	
43	43.75	-11.25	-71	35	
44	70	0	-53	27	
45	52.5	10	-98	39	
46	41.25	2.5	-85	66	
47	45	7.5	-89	50	
48	57.5	0	-63	45	
49	51.25	5	-61	38	
50	50	5	-94	32	
51	45	5	-115	23	
52	67.5	-3.75	-109	15	
53	46.25	11.25	-87	11	
54	46.25	-3.75	-68	30	
55	40	2.5	-62	27	
56	0	0	-67	21	
57	76.25	11.25	-49	12	
58	67.5	5	-66	29	
59	67.5	22.5	-66	21	
60	0	0	-76	-28	
