Trial	Xii	Yii
1	75	17.5	29	-99	
2	41.25	7.5	6	-85	
3	81.25	23.75	1	-113	
4	45	3.75	23	-187	
5	53.75	8.75	6	-155	
6	57.5	3.75	-3	-193	
7	40	3.75	-23	-172	
8	45	2.5	-8	-235	
9	40	-2.5	-31	-203	
10	65	7.5	-3	-181	
11	55	3.75	3	-163	
12	56.25	-7.5	-5	-151	
13	47.5	-7.5	24	-112	
14	41.25	-2.5	27	-80	
15	45	3.75	-1	-89	
16	57.5	3.75	15	-28	
17	51.25	-5	10	3	
18	53.75	3.75	-5	-1	
19	43.75	0	-45	3	
20	42.5	3.75	-57	-13	
21	46.25	2.5	-63	9	
22	41.25	-1.25	-50	24	
23	58.75	0	-66	27	
24	42.5	-7.5	5	30	
25	40	-3.75	44	39	
26	42.5	-1.25	20	15	
27	45	3.75	27	6	
28	41.25	15	4	-22	
29	43.75	1.25	76	-5	
30	40	11.25	54	18	
31	51.25	-3.75	69	12	
32	47.5	6.25	67	12	
33	46.25	7.5	64	-47	
34	63.75	13.75	72	-34	
35	46.25	3.75	78	-22	
36	56.25	10	81	-31	
37	51.25	1.25	103	-20	
38	58.75	11.25	72	-67	
39	50	-5	134	-28	
40	43.75	7.5	103	-46	
41	40	-1.25	63	-10	
42	40	1.25	64	-41	
43	66.25	1.25	71	-11	
44	51.25	0	72	-28	
45	70	-3.75	58	-28	
46	56.25	-7.5	46	5	
47	48.75	-3.75	18	-13	
48	45	-11.25	24	15	
49	62.5	7.5	19	-1	
50	45	3.75	19	-25	
51	42.5	7.5	44	18	
52	63.75	22.5	42	-61	
53	41.25	10	8	-10	
54	57.5	1.25	53	-17	
55	38.75	11.25	84	5	
56	41.25	3.75	54	-40	
57	56.25	1.25	26	-11	
58	40	10	26	-46	
59	52.5	-10	30	-47	
60	46.25	5	27	-38	
61	42.5	3.75	12	-43	
62	45	11.25	13	-88	
63	47.5	7.5	35	-97	
64	48.75	6.25	19	-94	
65	52.5	0	21	-97	
66	51.25	-7.5	55	-76	
67	48.75	0	45	-115	
68	47.5	-5	63	-73	
69	50	15	4	-85	
70	53.75	7.5	24	-46	
71	67.5	-7.5	19	-64	
72	57.5	7.5	24	-58	
73	63.75	-15	40	-58	
74	43.75	-5	70	-43	
75	43.75	-22.5	22	-59	
76	53.75	-3.75	44	-16	
77	38.75	11.25	-8	-22	
78	46.25	8.75	11	-62	
79	45	11.25	9	-79	
80	42.5	17.5	32	-79	
81	42.5	0	24	-55	
82	47.5	0	31	-52	
83	42.5	0	71	-23	
84	48.75	5	55	-17	
85	60	5	59	-14	
86	42.5	3.75	46	-64	
87	45	-6.25	45	-5	
88	60	-10	70	-2	
89	51.25	-12.5	103	27	
90	46.25	-11.25	0	-14	
91	51.25	0	-31	-52	
92	50	17.5	-55	-76	
93	52.5	13.75	-56	-94	
94	42.5	2.5	-56	-115	
95	40	11.25	-41	-127	
96	40	10	-79	-130	
