Trial	Xii	Yii
1	38.75	13.75	-14	30	
2	38.75	23.75	-53	-32	
3	38.75	13.75	-55	-52	
4	46.25	-2.5	-42	-71	
5	55	7.5	-10	-89	
6	57.5	0	-27	-94	
7	50	-10	-12	-104	
8	55	7.5	-25	-88	
9	47.5	6.25	-50	-118	
10	65	6.25	-55	-109	
11	75	15	-39	-91	
12	0	0	-10	-83	
13	53.75	11.25	-31	-64	
14	68.75	6.25	-37	-79	
15	80	3.75	-42	-37	
16	42.5	13.75	-60	-46	
17	46.25	11.25	-63	-34	
18	-52.5	0	239	-25	
19	13.75	-40	-62	-32	
20	48.75	10	-68	-31	
21	45	12.5	3	-59	
22	48.75	15	-8	-64	
23	87.5	18.75	15	-76	
24	53.75	7.5	-89	-46	
25	56.25	7.5	-8	-49	
26	45	17.5	-15	-58	
27	47.5	7.5	-22	-40	
28	42.5	3.75	-14	-16	
29	40	6.25	-8	-28	
30	57.5	13.75	2	-28	
31	62.5	7.5	27	-19	
32	42.5	3.75	16	-10	
33	41.25	6.25	15	-19	
34	60	5	5	-11	
35	40	7.5	12	-8	
36	43.75	11.25	30	6	
37	42.5	3.75	34	9	
38	40	7.5	38	-11	
39	47.5	1.25	49	5	
40	46.25	-15	49	-10	
41	67.5	5	19	-20	
42	45	7.5	28	-22	
43	77.5	16.25	-4	-44	
44	56.25	11.25	-9	-37	
