Trial	Xii	Yii
1	42.5	25	-14	21	
2	50	3.75	-54	8	
3	42.5	8.75	-42	-29	
4	41.25	-3.75	-62	-25	
5	60	0	-33	-46	
6	51.25	7.5	-44	-61	
7	51.25	0	-51	-61	
8	50	3.75	-76	-64	
9	41.25	7.5	-69	-40	
10	48.75	-11.25	-23	-17	
11	46.25	-5	-42	-10	
12	42.5	-6.25	-45	-11	
13	41.25	0	-54	-22	
14	56.25	3.75	-59	-25	
15	-47.5	1.25	243	-11	
16	-342.5	-52.5	262	51	
17	62.5	15	-6	12	
18	45	-2.5	-27	8	
19	65	2.5	-4	3	
20	60	-5	-7	6	
21	48.75	-1.25	-53	-7	
22	43.75	0	-8	-2	
23	40	2.5	-31	-19	
24	55	-2.5	-57	14	
25	42.5	-3.75	-15	36	
26	48.75	2.5	-35	27	
27	45	0	-36	29	
28	46.25	-5	4	39	
29	60	-3.75	-18	33	
30	40	-3.75	-9	36	
31	41.25	7.5	-49	15	
32	42.5	6.25	-78	15	
33	46.25	3.75	-8	27	
34	51.25	0	-1	-13	
35	43.75	0	-2	-1	
36	61.25	-12.5	9	3	
37	41.25	-1.25	-17	3	
38	48.75	-3.75	-4	18	
39	42.5	-3.75	-31	-7	
40	55	3.75	-57	-31	
41	43.75	-1.25	-30	-13	
42	55	2.5	-36	-10	
43	56.25	7.5	-28	-16	
44	47.5	0	-26	-10	
45	40	3.75	-33	-5	
46	45	3.75	-63	-7	
47	70	11.25	-53	-25	
48	41.25	1.25	-33	-2	
49	43.75	1.25	-31	5	
